Program Link,Program Name,Website,Name,ACGME Program Code,Program Director,PD Gender,Program Coordinator,PGY1,PGY2,PGY3,Region,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,II Rate,Interviews,Total Spots,Post II Odds,Spots/Apps,Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP)
/Program/GetById/222,The MetroHealth System/Case Western Reserve University Program,https://gme.metrohealth.org/dermatology-residency,The MetroHealth System/Case Western Reserve University Program,803831143,Harry Winfield,,Katherine DiSano,2,2,3,East North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,629,7.6,48,3,6%,0.48%,54%,8%,0%
/Program/GetById/263,Trinity Health Livingston Hospital Program,http://www.stjoeshealth.org/gme-dermatology,Trinity Health Livingston Hospital Program,802500143,Marsha Henderson,,Lindsay Zasada,5,4,4,East North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,407,4.9,20,4,20%,0.98%,0%,14%,62%
/Program/GetById/291,Tufts Medical Center Program,http://www.tuftsmedicalcenter.org/OurServices/Dermatology/default,Tufts Medical Center Program,802421141,Sarah Robinson,,Theodore Sullivan,3,4,4,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,720,5.8,42,4,10%,0.56%,38%,19%,0%
/Program/GetById/232,Tulane University Program,http://tulane.edu/som/departments/dermatology,Tulane University Program,802121108,Andrea Murina,,Elizabeth Duquesne,4,4,4,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,650,8.5,55,4,7%,0.62%,45%,10%,0%
/Program/GetById/302,UCLA David Geffen School of Medicine/UCLA Medical Center Program,http://www.derm.med.ucla.edu/,UCLA David Geffen School of Medicine/UCLA Medical Center Program,800521017,Marcia Hogeling,,Jodi Friedman,5,5,5,Pacific,University Hospital,Yes,No,2,–,# of Positions Filled:,5,5,882,4.1,36,5,14%,0.57%,29%,4%,0%
/Program/GetById/277,UMass Chan Medical School Program,http://umassmed.edu/dermatology,UMass Chan Medical School Program,802421114,Patrick Mulvaney,,Esmeralda Valois,4,4,3,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,648,0,0,4,#DIV/0!,0.62%,44%,17%,0%
/Program/GetById/243,University of Alabama Medical Center Program,https://www.uab.edu/medicine/dermatology/,University of Alabama Medical Center Program,800121010,Lauren Kole,,Ashley Foster,5,6,5,East South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,591,6.8,40,7,18%,1.18%,45%,10%,0%
/Program/GetById/230,University of Arizona College of Medicine-Tucson Program,https://deptmedicine.arizona.edu/divisions/dermatology/,University of Arizona College of Medicine-Tucson Program,800321145,Jeffrey Krase,,Sara Rojas,2,4,3,Mountain,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,631,5.7,36,4,11%,0.63%,50%,13%,0%
/Program/GetById/267,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,http://www.uams.edu/dermatology,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,800421013,Thomas Jennings,,Sharonda Smith,3,3,3,West South Central,University Hospital,Yes,No,–,3,3,–,# of Positions Filled:,409,9.5,39,3,8%,0.73%,33%,7%,7%
/Program/GetById/192,University of California (Irvine) Program,http://www.dermatology.uci.edu,University of California (Irvine) Program,800521014,Bonnie Lee,,Terena Wells,5,5,5,Pacific,University Hospital,Yes,No,2,–,# of Positions Filled:,5,5,589,6.8,40,5,13%,0.85%,32%,20%,0%
/Program/GetById/242,University of California (San Diego) Medical Center Program,http://dermatology.ucsd.edu/,University of California (San Diego) Medical Center Program,800521018,Taraneh Paravar,,Erica Lupien,5,5,5,Pacific,University Hospital,Yes,No,8,–,# of Positions Filled:,5,5,615,6.8,42,5,12%,0.81%,28%,12%,0%
/Program/GetById/221,University of California Davis Health Program,http://www.ucdmc.ucdavis.edu/dermatology,University of California Davis Health Program,800521101,Barbara Burrall,,Christina Roland,5,5,5,Pacific,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,595,7.6,45,5,11%,0.84%,44%,12%,0%
/Program/GetById/265,University of Central Florida/HCA Florida Healthcare (Tallahassee) Program,–,University of Central Florida/HCA Florida Healthcare (Tallahassee) Program,801100001,Stephen Richardson,,Meg Beerse,2,0,0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,188,21.3,40,2,5%,1.06%,–,–,–
/Program/GetById/194,University of Chicago Program,http://medicine.uchicago.edu/derm/res_welcome.html,University of Chicago Program,801611033,Adena Rosenblatt,,Nicole Teran,4,3,3,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,720,6.3,45,3,7%,0.42%,25%,13%,0%
/Program/GetById/260,University of Cincinnati Medical Center/College of Medicine Program,http://www.med.uc.edu/dermatology,University of Cincinnati Medical Center/College of Medicine Program,803821068,Alan Fleischer,,Joan Griggs,3,3,4,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,662,7.7,51,3,6%,0.45%,29%,35%,6%
/Program/GetById/168,University of Colorado Program,http://medschool.ucdenver.edu/derm,University of Colorado Program,800721022,Cheryl Armstrong,,Julie Clarke,6,6,6,Mountain,University Hospital,Yes,No,2,–,# of Positions Filled:,5,5,714,8.4,60,5,8%,0.70%,52%,7%,0%
/Program/GetById/195,University of Connecticut Program,http://www.uchc.edu/md/derm/index.htm,University of Connecticut Program,800831138,Steven Sloan,,Christina Iwanik,4,3,3,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,634,7.9,50,4,8%,0.63%,24%,18%,0%
/Program/GetById/240,University of Florida Program,https://dermatology.med.ufl.edu/,University of Florida Program,801121115,Kiran Motaparthi,,Megan McCann,4,4,4,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,681,7.3,50,4,8%,0.59%,40%,15%,0%
/Program/GetById/196,University of Illinois College of Medicine at Chicago Program,http://www.uic.edu/depts/mcde,University of Illinois College of Medicine at Chicago Program,801621034,Michelle Bain,,Barbara Balleza,4,4,4,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,695,9.6,67,4,6%,0.58%,40%,10%,0%
/Program/GetById/197,University of Iowa Hospitals and Clinics Program,https://medicine.uiowa.edu/dermatology/,University of Iowa Hospitals and Clinics Program,801821036,John Selby,,Kathryn Scheer,5,5,5,West North Central,University Hospital,Yes,No,1,–,# of Positions Filled:,5,5,572,8.4,48,5,10%,0.87%,52%,8%,0%
/Program/GetById/256,University of Kansas School of Medicine Program,http://www2.kumc.edu/kuderm/,University of Kansas School of Medicine Program,801911037,Ting Wang-Weinman,,Allison Netson Nutter,5,5,5,West North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,550,7.3,40,5,13%,0.91%,54%,12%,0%
/Program/GetById/193,University of Louisville School of Medicine Program,http://www.louisville.edu/medschool/dermatology,University of Louisville School of Medicine Program,802021038,Courtney Schadt,,Laura Hollifield,2,2,2,East South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,540,3.7,20,2,10%,0.37%,80%,20%,0%
/Program/GetById/225,University of Maryland Program,http://www.medschool.umaryland.edu/dermatology/,University of Maryland Program,802321041,Marcia Driscoll,,James Evans,3,2,2,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,644,3.9,25,2,8%,0.31%,33%,17%,0%
/Program/GetById/287,University of Miami/Jackson Health System Program,http://www.um-jmh.org/chapter.cfm?id=69,University of Miami/Jackson Health System Program,801121026,George Elgart,,Vanessa Araya,8,8,7,South Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,9,9,739,6.8,50,9,18%,1.22%,35%,16%,0%
/Program/GetById/224,University of Michigan Health System Program,http://www.medicine.umich.edu/dept/dermatology,University of Michigan Health System Program,802531045,Yolanda Helfrich,,Kimberly Desbrough,7,9,7,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,701,10.3,72,9,13%,1.28%,41%,10%,0%
/Program/GetById/226,University of Minnesota Program,http://www.dermatology.umn.edu,University of Minnesota Program,802631048,Ingrid Polcari,,Joshua Hill,5,4,4,West North Central,University Hospital,Yes,No,1,–,# of Positions Filled:,4,4,629,6.4,40,4,10%,0.64%,38%,24%,5%
/Program/GetById/297,University of Mississippi School of Medicine Program,http://www.umc.edu/education/schools/medicine/clinical_science/dermatology/dermatology.aspx,University of Mississippi School of Medicine Program,802700001,Nancye McCowan,,Haidee Montgomery,3,5,4,East South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,475,7.8,37,4,11%,0.84%,56%,28%,0%
/Program/GetById/271,University of Missouri-Columbia Program,http://derm.muhealth.org,University of Missouri-Columbia Program,802821050,Kari Martin,,Ali Matheney,4,3,3,West North Central,University Hospital,Yes,No,1,–,# of Positions Filled:,3,3,515,7.8,40,3,8%,0.58%,75%,6%,0%
/Program/GetById/174,University of Nebraska Medical Center College of Medicine Program,https://www.unmc.edu/dermatology/,University of Nebraska Medical Center College of Medicine Program,803000001,Jennifer Adams,,Jaida Carley,3,3,3,West North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,509,8.4,43,3,7%,0.59%,25%,25%,0%
/Program/GetById/306,University of New Mexico School of Medicine Program,http://dermatology.unm.edu/,University of New Mexico School of Medicine Program,803400055,Emily Altman,,Kathy Freise,3,3,3,Mountain,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,565,12.7,72,3,4%,0.53%,15%,15%,8%
/Program/GetById/169,University of North Carolina Hospitals Program,http://www.med.unc.edu/dermatology,University of North Carolina Hospitals Program,803611066,Carolyn Ziemer,,Cherie Norton,5,5,4,South Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,6,6,717,5.7,41,6,15%,0.84%,43%,14%,0%
/Program/GetById/190,University of Oklahoma Health Sciences Center Program,https://medicine.ouhsc.edu/Academic-Departments/Dermatology,University of Oklahoma Health Sciences Center Program,803921074,Pamela Allen,,Renee Wall,4,4,2,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,503,7.8,39,4,10%,0.80%,47%,18%,6%
/Program/GetById/183,University of Pennsylvania Health System Program,https://dermatology.upenn.edu/residents/residency-tracks/,University of Pennsylvania Health System Program,804121080,Misha Rosenbach,,Barbara Lang,8,6,6,Middle Atlantic,University Hospital,Yes,No,3,–,# of Positions Filled:,7,7,655,10.1,66,7,11%,1.07%,42%,24%,0%
/Program/GetById/202,University of Puerto Rico Program,http://medweb.rcm.upr.edu/gme/residency.html,University of Puerto Rico Program,804221082,Rafael Martin,,areli carrasquillo,2,2,3,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,178,6.7,12,3,25%,1.69%,57%,7%,0%
/Program/GetById/5455,University of Rochester Program,http://www.urmc.rochester.edu/derm/residency/index.html,University of Rochester Program,803521102,Mary Gail Mercurio,,Natasha Garcia,5,5,4,Middle Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,5,5,607,4.9,30,5,17%,0.82%,35%,13%,0%
/Program/GetById/284,University of South Florida Morsani Program,https://health.usf.edu/medicine/dermatology/residency,University of South Florida Morsani Program,801121096,Basil Cherpelis,,Ashley Sanford,4,4,4,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,642,5.8,37,4,11%,0.62%,55%,20%,0%
/Program/GetById/298,University of Southern California/LAC+USC Medical Center Program,https://keck.usc.edu/dermatology/,University of Southern California/LAC+USC Medical Center Program,800511015,Ashley Crew,,Brenda Cornejo,4,4,4,Pacific,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,591,7.4,44,4,9%,0.68%,65%,25%,0%
/Program/GetById/283,University of Tennessee Program,http://www.uthsc.edu/dermatology/,University of Tennessee Program,804721084,Allison Jones,,Erica Franklin,4,4,4,East South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,552,9.1,50,4,8%,0.72%,61%,17%,0%
/Program/GetById/5457,University of Texas at Austin Dell Medical School Program,https://dellmed.utexas.edu/education/academics/graduate-medical-education/dermatology-residency,University of Texas at Austin Dell Medical School Program,804812140,Ammar Ahmed,,Rachel Heap,4,4,4,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,674,5.3,36,4,11%,0.59%,25%,30%,0%
/Program/GetById/167,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,http://dermatology.uthscsa.edu,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,804822088,Sandra Osswald,,Shannon Lovelace,3,3,3,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,550,4.4,24,3,13%,0.55%,71%,36%,0%
/Program/GetById/272,University of Texas Medical Branch Hospitals Program,http://www.utmb.edu/dermatology,University of Texas Medical Branch Hospitals Program,804811086,Richard Wagner,,LaNette Patton,6,5,5,West South Central,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,530,5.7,30,6,20%,1.13%,50%,21%,0%
/Program/GetById/234,University of Texas Southwestern Medical Center Program,http://www.utsouthwestern.edu,University of Texas Southwestern Medical Center Program,804821085,Travis Vandergriff,,Rhoda Bryant,9,8,7,West South Central,University Hospital,Yes,No,6,–,# of Positions Filled:,8,8,632,12.5,79,8,10%,1.27%,72%,5%,0%
/Program/GetById/191,University of Utah Health Program,http://medicine.utah.edu/dermatology/index.htm,University of Utah Health Program,804921112,Christopher Hull,,Anna Williams,4,4,3,Mountain,University Hospital,Yes,No,1,1,1,3,3,796,5.2,41,4,10%,0.50%,48%,19%,0%
/Program/GetById/296,University of Vermont Medical Center Program,http://med.uvm.edu/medicine/dermatology/home,University of Vermont Medical Center Program,805013129,Joseph Pierson,,Mandy Blair,3,2,2,New England,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,543,3.7,20,2,10%,0.37%,–,–,–
/Program/GetById/5456,University of Virginia Medical Center Program,http://www.medicine.virginia.edu/clinical/departments/dermatology,University of Virginia Medical Center Program,805111089,Richard Flowers,,Brenda Harris,4,3,3,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,688,3.6,25,3,12%,0.44%,44%,13%,0%
/Program/GetById/172,University of Washington Program,http://depts.washington.edu/dermatol/,University of Washington Program,805431091,Markus Boos,,Stephanie Timm,4,5,4,Pacific,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,715,5.3,38,5,13%,0.70%,50%,14%,5%
/Program/GetById/268,University of Wisconsin Hospitals and Clinics Program,http://www.dermatology.wisc.edu,University of Wisconsin Hospitals and Clinics Program,805621093,William Aughenbaugh,,Jennifer Hanser,5,5,3,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,612,8.2,50,5,10%,0.82%,57%,9%,0%
/Program/GetById/292,Vanderbilt University Medical Center Program,https://medsites.vumc.org/departmentofdermatology/residency-program,Vanderbilt University Medical Center Program,804721098,Anna Dewan,,Kristina Maynard,5,5,5,East South Central,University Hospital,Yes,No,1,–,# of Positions Filled:,5,5,694,7.8,54,5,9%,0.72%,40%,24%,0%
/Program/GetById/247,Virginia Commonwealth University Health System Program,https://dermatology.vcu.edu/education/residency/,Virginia Commonwealth University Health System Program,805121090,Kimberly Salkey,,Talon Lewis,2,2,2,South Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,605,6,36,2,6%,0.33%,40%,20%,0%
/Program/GetById/246,Wayne State University School of Medicine Program,–,Wayne State University School of Medicine Program,802513139,Steven Daveluy,,Emma Reaves,4,4,4,East North Central,Affiliated Hospital,Yes,No,1,–,# of Positions Filled:,4,4,579,7.4,43,4,9%,0.69%,40%,5%,0%
,,–,,,,,,,,,,,,,,,,,,,,0,,#DIV/0!,#DIV/0!,,,
