Region,Name,ACGME Program Code,Program Director,Program Coordinator,PGY1,PGY2,PGY3,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,Interviewed:,Alpha Omega Alpha (AOA),Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP),Sigma Sigma Phi (SSP)
West South Central,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,4204811198,James Schnitker,Melisa Harris Pates,6,7,6,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,7,7,678,13.3,21%,11%,6%,5%,15%,5%
West South Central,Texas Tech University HSC El Paso Program,4204812257,Jesus Diaz,Terri Brashear,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,651,7.4,0%,11%,7%,5%,0%,5%
East North Central,The MetroHealth System/Case Western Reserve University Program,4203821242,Michael Markovic,Michelle Butler,6,5,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,851,8.8,0%,11%,4%,5%,8%,5%
East North Central,Trinity Health Oakland/Wayne State University Program,4202532101,George Pappas,Laura Kobylas,3,4,3,Affiliated Hospital,Yes,No,–,3,3,–,# of Positions Filled:,576,6.3,–,–,–,–,–,–
Pacific,Tripler Army Medical Center Program,4201421933,Aaron Wickley,Aicyd Jax Galang-Grone,5,3,5,Military,Yes,No,–,1,1,–,# of Positions Filled:,195,5.1,–,–,–,–,–,–
New England,Tufts Medical Center Program,4202421086,Ozden Bulut,Janella Whyte,5,5,6,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,"1,078",9.7,0%,11%,4%,5%,13%,5%
West South Central,Tulane University Program,4202121235,Mandy Weidenhaft,Ellen Walker,6,4,6,University Hospital,Yes,No,–,5,5,–,# of Positions Filled:,875,12.7,4%,11%,4%,5%,12%,5%
Pacific,UCLA David Geffen School of Medicine/UCLA Medical Center Program,4200511023,Robert Suh,Guadalupe Perez,12,10,10,University Hospital,Yes,No,3,–,# of Positions Filled:,12,12,840,17.4,16%,11%,9%,5%,0%,5%
New England,UMass Chan - Baystate Program,4202412088,Tara Catanzano,"Gail Wall, C-TAGME",4,5,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,654,18.3,0%,11%,0%,5%,15%,5%
New England,UMass Chan Medical School Program,4202421090,Carolynn DeBenedectis,Beena Gopalkrishnan,5,4,5,University Hospital,Yes,No,2,–,# of Positions Filled:,6,6,873,9.7,0%,11%,4%,5%,0%,5%
Middle Atlantic,University at Buffalo Program,4203500257,Douglas Drumsta,Rachel Taylor,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,635,–,0%,11%,0%,5%,5%,5%
East South Central,University of Alabama Medical Center Program,4200111007,Jessica Zarzour,Natasha Millette,9,7,7,University Hospital,Yes,No,1,–,# of Positions Filled:,9,9,665,26.5,31%,11%,2%,5%,0%,5%
Mountain,University of Arizona College of Medicine-Tucson Program,4200321011,Dorothy Gilbertson-Dahdal,Janet Black,9,9,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,898,11.5,2%,11%,11%,5%,20%,5%
West South Central,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,4200421012,Roopa Ram,Alysia Johnson,7,7,7,University Hospital,Yes,No,–,8,8,–,# of Positions Filled:,"1,000",12.0,8%,11%,0%,5%,3%,5%
Pacific,University of California (Irvine) Program,4200521014,David Floriolli,Shane Wong,6,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,740,13.0,10%,11%,3%,5%,3%,5%
Pacific,University of California (San Diego) Medical Center Program,4200521027,Andrew Yen,Dion Brown,8,8,10,University Hospital,Yes,No,5,–,# of Positions Filled:,8,8,"1,051",8.6,14%,11%,7%,5%,5%,5%
Pacific,University of California (San Francisco) Program,4200521031,Soonmee Cha,Sandria Wong,14,15,12,University Hospital,Yes,No,4,–,# of Positions Filled:,13,13,769,13.7,18%,11%,9%,5%,0%,5%
Pacific,University of California Davis Health Program,4200511013,Ghaneh Fananapazir,David Wilson,5,5,7,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,656,17.5,26%,11%,0%,5%,0%,5%
East North Central,University of Chicago Program,4201611061,Seng Ong,Lee Brauer,5,9,6,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,"1,102",13.6,25%,11%,3%,5%,0%,5%
East North Central,University of Cincinnati Medical Center/College of Medicine Program,4203821152,Eric England,Tosha Feldkamp,8,9,7,University Hospital,Yes,No,1,–,# of Positions Filled:,8,8,966,12.4,13%,11%,3%,5%,10%,5%
Mountain,University of Colorado Program,4200721038,David Gimarc,Kelly Downey,9,8,7,University Hospital,Yes,No,2,–,# of Positions Filled:,9,9,"1,019",–,7%,11%,10%,5%,2%,5%
New England,University of Connecticut Program,4200821225,Marco Molina,Lisa Turner,2,3,2,University Hospital,Yes,No,1,–,# of Positions Filled:,2,2,632,6.2,–,–,–,–,–,–
South Atlantic,University of Florida College of Medicine Jacksonville Program,4201121223,Travis Meyer,Martha English,6,5,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,7,7,"1,014",8.9,4%,11%,4%,5%,15%,5%
South Atlantic,University of Florida Program,4201121048,Mariam Hanna,Sabrina DuBois,11,12,12,University Hospital,Yes,No,–,–,# of Positions Filled:,12,12,939,18.1,7%,11%,9%,5%,0%,5%
East North Central,University of Illinois College of Medicine at Chicago Program,4201621062,Karen Xie,Rachel Marks,4,5,6,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,"1,125",8.9,9%,11%,0%,5%,0%,5%
East North Central,University of Illinois College of Medicine at Peoria Program,4201621243,Jane Maksimovic,Carrie Warner,5,4,4,Affiliated Hospital,Yes,No,–,6,6,–,# of Positions Filled:,671,15.6,0%,11%,18%,5%,14%,5%
West North Central,University of Iowa Hospitals and Clinics Program,4201821068,Catherine Metz,Glena Clarke,4,7,7,University Hospital,Yes,No,–,4,4,3,3,771,14.0,11%,11%,0%,5%,0%,5%
West North Central,University of Kansas (Wichita) Program,4201912070,Kamran Ali,Heather Contreras,3,4,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,498,13.1,–,–,–,–,–,–
West North Central,University of Kansas School of Medicine Program,4201911069,Shelby Fishback,David Acosta,7,6,5,University Hospital,Yes,No,1,–,# of Positions Filled:,5,5,670,16.4,10%,11%,0%,5%,0%,5%
East South Central,University of Kentucky College of Medicine Program,4202021071,James Lee,Sally Jones,7,8,8,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,864,13.2,3%,11%,5%,5%,3%,5%
East South Central,University of Louisville School of Medicine Program,4202021230,Tracy Van Meter,Erin Parker,6,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,803,12.5,7%,11%,3%,5%,0%,5%
South Atlantic,University of Maryland Program,4202311079,Charles Resnik,Ricuhelt Lantaya,7,9,8,University Hospital,Yes,No,2,–,# of Positions Filled:,8,8,"1,010",14.9,10%,11%,3%,5%,3%,5%
South Atlantic,University of Miami/Jackson Health System Program,4201121049,Gary Danton,Mary Botero,10,10,10,University Hospital,Yes,No,2,–,# of Positions Filled:,10,9,"1,103",16.3,24%,11%,6%,5%,2%,5%
East North Central,University of Michigan Health System Program,4202521091,Kara Udager,Amy Spencer,8,8,8,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,"1,007",10.7,48%,11%,3%,5%,0%,5%
West North Central,University of Minnesota Program,4202621104,Tara Holm,Shari Johnston,9,9,9,University Hospital,Yes,No,–,8,8,2,2,918,9.8,13%,11%,4%,5%,9%,5%
East South Central,University of Mississippi Medical Center Program,4202711107,Charlotte Taylor,Daniel Kennedy,8,7,6,University Hospital,Yes,No,–,7,7,–,# of Positions Filled:,562,16.4,14%,11%,6%,5%,0%,5%
West North Central,University of Missouri-Columbia Program,4202811108,Robert Wissman,Crystal Arellano,4,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,648,17.0,0%,11%,0%,5%,21%,5%
West North Central,University of Missouri-Kansas City School of Medicine Program,4202821231,Jessica Sanchez,Julie McCollum,6,5,6,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,723,11.1,0%,11%,13%,5%,17%,5%
West North Central,University of Nebraska Medical Center College of Medicine Program,4203021112,Neil Hansen,Tina Hunter,5,6,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,541,16.6,15%,11%,7%,5%,11%,5%
Mountain,University of New Mexico School of Medicine Program,4203421120,Amanda Derylo,Jesse Hernandez,8,8,7,University Hospital,Yes,No,1,–,# of Positions Filled:,8,8,609,0.0,8%,11%,18%,5%,15%,5%
South Atlantic,University of North Carolina Hospitals Program,4203611148,Cody Schwartz,Allison Speagle,9,9,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,"1,099",12.0,20%,11%,2%,5%,0%,5%
West South Central,University of Oklahoma Health Sciences Center Program,4203921159,Jay Hiller,Gina Laws,6,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,670,13.3,0%,11%,3%,5%,17%,5%
Middle Atlantic,University of Pennsylvania Health System Program,4204121175,Mary Scanlon,Susan Lamey,13,13,14,University Hospital,Yes,No,7,–,# of Positions Filled:,13,13,"1,085",10.0,28%,11%,5%,5%,0%,5%
South Atlantic,University of Puerto Rico Program,4204221182,Jose Maldonado Vargas,Vannesa Urdaz,4,4,4,University Hospital,Yes,No,–,–,# of Positions Filled:,5,4,106,17.0,–,–,–,–,–,–
Middle Atlantic,University of Rochester Program,4203511146,Susan Hobbs,Michelle Snyder,9,11,8,University Hospital,Yes,No,1,–,# of Positions Filled:,9,9,781,15.4,9%,11%,0%,5%,4%,5%
South Atlantic,University of South Florida Morsani Program,4201121051,Douglas Ivancsits,Leah Johnsey,6,6,7,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,945,9.5,26%,11%,0%,5%,3%,5%
Pacific,University of Southern California/LAC+USC Medical Center Program,4200511021,M. Victoria Marx,Bevelin Nakato,8,8,9,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,8,8,755,8.5,18%,11%,13%,5%,5%,5%
East South Central,University of Tennessee Medical Center at Knoxville Program,4204721236,Ian Gray,Melisa McCormick,6,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,659,17.0,28%,11%,0%,5%,0%,5%
East South Central,University of Tennessee/Methodist Healthcare Program,4204721187,Brian Green,April Hollis,3,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,732,11.6,0%,11%,5%,5%,0%,5%
West South Central,University of Texas at Austin Dell Medical School Program,4204800936,Bhairav Patel,Rebecca Shelton,4,0,0,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,743,0.5,0%,11%,0%,5%,8%,5%
West South Central,University of Texas Health Science Center at Houston Program,4204821196,Emma Ferguson,Lori Brown,9,11,13,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,"1,043",12.0,15%,11%,7%,5%,0%,5%
West South Central,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,4204821197,Kent Rohweder,Diana Morris,11,11,9,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,"1,035",10.3,9%,11%,6%,5%,11%,5%
West South Central,University of Texas Medical Branch Hospitals Program,4204811194,John Heymann,Lycia Champagne-Buckley,6,6,7,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,766,15.1,0%,11%,0%,5%,0%,5%
West South Central,University of Texas Southwestern Medical Center Program,4204821192,Karuna Raj,Adrienne Rickett,13,11,11,Affiliated Hospital,Yes,No,5,–,# of Positions Filled:,12,12,"1,026",10.7,15%,11%,5%,5%,0%,5%
East North Central,University of Toledo Program,4203821157,Terrence Lewis,Joelynn Samson,4,4,4,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,711,13.6,0%,11%,0%,5%,10%,5%
Mountain,University of Utah Health Program,4204921199,Nicole Winkler,Stacie England,8,7,7,University Hospital,Yes,No,–,2,2,8,8,876,13.4,36%,11%,8%,5%,0%,5%
New England,University of Vermont Medical Center Program,4205031200,Ryan Walsh,Ruth Vant,6,7,5,Community Hospital,Yes,No,1,–,# of Positions Filled:,6,6,624,14.4,3%,11%,7%,5%,0%,5%
South Atlantic,University of Virginia Medical Center Program,4205111201,Juliana Bueno,Jordain Webb,8,9,9,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,938,8.5,29%,11%,10%,5%,0%,5%
Pacific,University of Washington Program,4205421205,Christine Rehwald,Marcus Maurer,10,11,10,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,924,14.5,40%,11%,10%,5%,0%,5%
East North Central,University of Wisconsin Hospitals and Clinics Program,4205621210,David Kim,Maggi Schrader,8,8,6,University Hospital,Yes,No,2,–,# of Positions Filled:,8,8,852,18.1,29%,11%,11%,5%,0%,5%
Middle Atlantic,UPMC Medical Education Program,4204121177,Marion Hughes,Trish Martino,9,9,10,University Hospital,Yes,No,–,–,# of Positions Filled:,10,10,"1,117",9.8,29%,11%,4%,5%,0%,5%
East South Central,USA Health Program,4200111008,Brett Martin,Shunda Fakaha,4,6,5,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,594,16.8,4%,11%,0%,5%,8%,5%
East South Central,Vanderbilt University Medical Center Program,4204721189,Erin Cooke,Justin Wolf,6,6,6,University Hospital,Yes,No,1,–,# of Positions Filled:,6,6,"1,132",8.7,30%,11%,13%,5%,7%,5%
South Atlantic,Virginia Commonwealth University Health System Program,4205121203,Josephina Vossen,Kim Christman,6,7,7,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,959,12.5,0%,11%,8%,5%,10%,5%
Pacific,Virginia Mason Franciscan Health Program,4205412206,Margaret Chapman,Julie Gibbons,3,3,3,Community Hospital,Yes,No,–,2,2,1,1,754,7.8,7%,11%,14%,5%,7%,5%
South Atlantic,Wake Forest University Baptist Medical Center Program,4203611150,Carol Geer,Melissa Chrismon,9,9,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,955,14.1,51%,11%,2%,5%,0%,5%
West North Central,Washington University/B-JH/SLCH Consortium Program,4202811111,Jennifer Gould,Melissa Hummel,17,16,14,University Hospital,Yes,No,7,–,# of Positions Filled:,18,18,889,26.4,35%,11%,7%,5%,0%,5%
South Atlantic,West Virginia University Program,4205521208,SoHyun Boo,Katie Swaney,6,5,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,758,10.6,0%,11%,0%,5%,3%,5%
Middle Atlantic,Westchester Medical Center Program,4203521136,Anna Rozenshtein,Jennifer Monks,5,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,630,15.9,8%,11%,8%,5%,0%,5%
New England,Yale-New Haven Medical Center Program,4200821043,Syed Ahmad Jamal Bokhari,Lisa Hribko,15,13,12,University Hospital,Yes,No,1,–,# of Positions Filled:,12,12,"1,015",19.9,30%,11%,4%,5%,1%,5%
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,4203521218,Bidyut Pramanik,Keren Beauge,4,5,4,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,692,14.5,5%,11%,0%,5%,0%,5%
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell at Mather Hospital Program,4203500255,Joshua Kern,Kimberly Wilson,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,598,12.5,–,–,–,–,–,–
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,4203512254,David Sarkany,Genevieve Ebbro,4,4,4,Affiliated Hospital,Yes,No,1,–,# of Positions Filled:,4,4,620,17.7,0%,11%,5%,5%,0%,5%
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell Program,4203531124,John Pellerito,Theresa Eacobacci,10,10,10,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,674,29.7,16%,11%,4%,5%,6%,5%
South Atlantic,AdventHealth Florida Program,4201112260,Robert Groves,Maria Mangual,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,712,12.6,20%,11%,0%,5%,5%,5%
East North Central,Advocate Health Care/Advocate Illinois Masonic Medical Center Program,4201621217,Loren Zuiderveld,Katelynn Greer,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,732,8.2,–,–,–,–,–,–
Middle Atlantic,Albany Medical Center Program,4203511121,christine Cooley,Camille Dumas,5,5,4,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,678,12.5,8%,11%,4%,5%,0%,5%
Middle Atlantic,Albert Einstein Healthcare Network/Einstein Medical Center Montgomery Program,4204100242,Brooke Devenney,Shannon McKane,3,3,2,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,596,0.7,0%,11%,6%,5%,6%,5%
Middle Atlantic,Albert Einstein Healthcare Network Program,4204121165,Ryan Smith,Nichole Adkinson,7,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,"1,112",9.9,4%,11%,11%,5%,4%,5%
Middle Atlantic,Allegheny Health Network Medical Education Consortium (AGH) Program,4204121176,William Peterson,Melissa Laity,6,7,7,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,7,7,798,14.3,0%,11%,3%,5%,9%,5%
Middle Atlantic,Arnot Ogden Medical Center Program,4203500256,Gerard Buffo,Melissa Mattison,2,2,2,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,423,11.8,–,–,–,–,–,–
Arrowhead Regional Medical Center,Arrowhead Regional Medical Center Program,4200500001,John Sohn,Erica Cyr,0,0,0,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,261,30.7,–,–,–,–,–,–
East North Central,Ascension Providence/MSUCHM Program,4202521103,Mathew Chakko,Eutropia Rhodes,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,619,8.1,0%,11%,0%,5%,7%,5%
Middle Atlantic,Atlantic Health System/Morristown Medical Center Program,4203311116,Justin Alpert,Molly Crowley,5,5,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,648,12.8,8%,11%,4%,5%,8%,5%
East North Central,Aultman Hospital/Mercy/NEOMED Program,4203821232,Colleen Morris,Amanda Fouts,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,556,10.8,0%,11%,5%,5%,5%,5%
East North Central,Aurora Health Care Program,4205612213,William MacDonald,Camille Dykas,4,5,6,Community Hospital,Yes,No,–,4,4,–,# of Positions Filled:,689,13.2,0%,11%,5%,5%,5%,5%
South Atlantic,Baptist Health South Florida Program,4201100001,Katharine Lampen-Sachar,Claudia Pace,0,0,0,Community Hospital,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
East South Central,Baptist Memorial Medical Education Program,4204712186,John Stanfill,Angela Callens,6,6,7,Community Hospital,Yes,No,–,–,# of Positions Filled:,6,6,593,13.5,3%,11%,7%,5%,10%,5%
West South Central,Baylor College of Medicine Program,4204821195,Pedro Diaz-Marchan,Lori Burlin,12,12,12,University Hospital,Yes,No,–,–,# of Positions Filled:,12,12,"1,131",12.4,7%,11%,8%,5%,7%,5%
West South Central,Baylor University Medical Center Program,4204822190,Joseph Philip,Janet Palmer,7,7,7,Affiliated Hospital,Yes,No,–,5,5,2,2,958,10.6,36%,11%,8%,5%,0%,5%
East North Central,Beaumont Health (Dearborn) Program,4202512092,Graham Appleford,Via Barias,4,4,4,Affiliated Hospital,Yes,No,–,5,5,–,# of Positions Filled:,628,6.4,0%,11%,9%,5%,9%,5%
East North Central,Beaumont Health (Farmington Hills) Program,4202500105,Timothy McKnight,Kira Smith,2,2,2,Affiliated Hospital,Yes,No,–,3,3,1,1,588,7.0,–,–,–,–,–,–
East North Central,Beaumont Health (Royal Oak) Program,4202512102,Daniel Piziali,Janelle Adkins,6,6,6,Affiliated Hospital,Yes,No,–,8,8,–,# of Positions Filled:,795,18.1,15%,11%,12%,5%,0%,5%
New England,Beth Israel Deaconess Medical Center Program,4202421080,Jennifer Cutts,Katelyn Sullivan,8,8,8,University Hospital,Yes,No,1,–,# of Positions Filled:,8,8,918,21.8,8%,11%,5%,5%,0%,5%
New England,Boston University Medical Center Program,4202421081,Asim Mian,Yanqi Liu,10,10,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,"1,058",13.0,6%,11%,2%,5%,0%,5%
New England,Bridgeport Hospital/Yale University Program,4200812039,Kiran Sheikh,Eileana Valentin,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,783,10.2,0%,11%,0%,5%,0%,5%
New England,Brigham and Women's Hospital/Harvard Medical School Program,4202421085,Sara Durfee,Sandra Palma,8,8,8,University Hospital,Yes,No,1,–,# of Positions Filled:,7,7,947,9.0,31%,11%,8%,5%,0%,5%
East South Central,Brookwood Baptist Health Program,4200121006,Bibb Allen,Missy Fadlevich,4,4,4,Community Hospital,Yes,No,–,4,4,–,# of Positions Filled:,468,21.4,0%,11%,6%,5%,6%,5%
New England,Brown University Program,4204321183,Ana Lourenco,Jill Eastman,6,7,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,847,12.4,13%,11%,13%,5%,0%,5%
East North Central,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,4203821153,Michael Wien,Emily Plas,9,10,9,University Hospital,Yes,No,2,–,# of Positions Filled:,9,9,"1,120",8.9,6%,11%,2%,5%,6%,5%
Pacific,Cedars-Sinai Medical Center Program,4200521018,Thomas Learch,Joseph Stuckelman,3,3,3,Community Hospital,Yes,No,–,–,# of Positions Filled:,3,3,632,8.5,–,–,–,–,–,–
South Atlantic,Christiana Care Health Services Program,4200911044,Mohammed Ali,Teresa Thuet,4,4,5,Affiliated Hospital,Yes,No,–,4,4,–,# of Positions Filled:,763,12.5,5%,11%,5%,5%,19%,5%
East North Central,Cleveland Clinic Foundation Program,4203812154,Joseph Veniero,Danielle Berry,8,8,8,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,8,8,"1,119",13.6,25%,11%,3%,5%,18%,5%
East North Central,Cook County Health and Hospitals System Program,4201621055,Morlie Wang,Anna Johnson,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,755,7.9,0%,11%,5%,5%,10%,5%
Middle Atlantic,Cooper Medical School of Rowan University/Cooper University Hospital Program,4203321244,Sabina Amin,Sandra Knapp,5,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,688,14.4,4%,11%,0%,5%,13%,5%
West North Central,Creighton University School of Medicine (Omaha) Program,4203021220,Johanna Schubert,Reva Aguilar,3,3,3,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,595,11.8,0%,11%,7%,5%,7%,5%
Mountain,Creighton University School of Medicine Program,4200312010,Dane Van Tassel,Roberta Valley,8,8,8,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,8,8,801,18.2,3%,11%,9%,5%,0%,5%
New England,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,4203211113,Stephanie Yen,Jill Rosenthal,3,3,2,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,626,17.3,13%,11%,0%,5%,13%,5%
Pacific,David Grant Medical Center Program,4200521001,Ely Wolin,Michelle Prince,3,3,3,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
East North Central,Detroit Medical Center/Wayne State University Program,4202521096,Ali Harb,Nitasha Cheema,10,10,10,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,815,18.4,0%,11%,4%,5%,6%,5%
West South Central,"Doctors Hospital at Renaissance, Ltd. Program",4204800001,Mario Moya,Debra Gomez,0,0,0,Not Available,Yes,No,–,–,# of Positions Filled:,3,–,0,–,–,–,–,–,–,–
South Atlantic,Duke University Hospital Program,4203631149,Michael Taylor-Cho,Candie Stewart,10,10,10,University Hospital,Yes,No,2,–,# of Positions Filled:,10,10,"1,046",7.2,39%,11%,12%,5%,0%,5%
South Atlantic,Eastern Virginia Medical School Program,4205121202,Lester Johnson,Marleen Viola,5,3,4,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,803,11.8,5%,11%,10%,5%,0%,5%
South Atlantic,Emory University School of Medicine Program,4201221052,Christopher Ho,Angela Huff,14,14,13,University Hospital,Yes,No,6,–,# of Positions Filled:,14,14,"1,320",15.4,18%,11%,13%,5%,1%,5%
East North Central,Franciscan Health Olympia Fields Program,4201600679,Gregory Henkle,Kelly Deasy,3,3,4,Community Hospital,Yes,No,–,3,3,–,# of Positions Filled:,560,9.8,–,–,–,–,–,–
Middle Atlantic,Geisinger Health System Program,4204121163,Kayleigh Taylor,Melissa Rea,5,4,3,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,806,9.9,0%,11%,0%,5%,18%,5%
South Atlantic,George Washington University Program,4201021046,John Lichtenberger,Norma Smith-Glenn,4,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,"1,067",9.4,8%,11%,0%,5%,0%,5%
Middle Atlantic,Harlem Hospital Center Program,4203521214,Sudha Ramachandran,Winsome Gordon,2,2,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,433,16.2,0%,11%,0%,5%,0%,5%
New England,Hartford Hospital Program,4200822041,Timothy Herbst,Paula Levenson,5,5,6,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,768,11.7,–,–,–,–,–,–
South Atlantic,HCA Florida Healthcare/Aventura Hospital Program,4201100262,Brett McKeon,Jane Rentas,5,5,5,Community Hospital,Yes,No,–,5,5,–,# of Positions Filled:,665,18.0,6%,11%,6%,5%,6%,5%
South Atlantic,HCA Florida Healthcare/USF Morsani College of Medicine GME Trinity Hospital Program,4201100263,Sandor Szilagyi,Jennifer Aceituno-Cardona,6,6,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,575,15.0,0%,11%,5%,5%,27%,5%
South Atlantic,HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,4201212054,Dhruvkumar Patel,Antoinette McDonough,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,588,12.8,5%,11%,5%,5%,0%,5%
Pacific,HCA Healthcare Riverside Program,4200500916,Shiv Bhanu,Elizabeth Martinez,4,3,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,457,–,7%,11%,0%,5%,13%,5%
Mountain,HCA Healthcare Sunrise Health GME/MountainView Program,4203100001,Sean Beaty,Melinda Thrasher,5,5,5,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,461,10.8,5%,11%,0%,5%,9%,5%
East North Central,Henry Ford Health/Henry Ford Hospital Program,4202511093,Brent Griffith,Alice Brown,8,8,8,Affiliated Hospital,Yes,No,–,8,8,–,# of Positions Filled:,788,15.2,3%,11%,8%,5%,5%,5%
Middle Atlantic,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,4203521135,Kathleen Halton,Katharina Wang,8,8,7,University Hospital,Yes,No,1,–,# of Positions Filled:,7,7,988,10.1,3%,11%,5%,5%,0%,5%
Middle Atlantic,Icahn School of Medicine at Mount Sinai/West Program,4203521224,Amita Kamath,Paula Green,11,10,12,Affiliated Hospital,Yes,No,1,–,# of Positions Filled:,11,11,967,13.4,4%,11%,9%,5%,2%,5%
East North Central,Indiana University School of Medicine Program,4201721066,Atul Agarwal,John Donatelli,11,12,13,University Hospital,Yes,No,1,2,2,9,9,986,14.2,18%,11%,4%,5%,2%,5%
West South Central,Integris Health Program,4203912158,Clinton Williamson,Natasha Fanson,4,5,4,Community Hospital,Yes,No,–,–,# of Positions Filled:,4,4,458,13.1,–,–,–,–,–,–
